plasmid	type
NZ_AP018665.1	community_0_subcommunity_0
NZ_CP018223.1	community_0_subcommunity_1
NZ_CP020926.1	community_0_subcommunity_2
NZ_AP017657.1	community_0_subcommunity_3
NZ_CP053023.1	community_0_subcommunity_4
NZ_CP023452.1	community_0_subcommunity_5
NZ_CP076559.1	community_0_subcommunity_6
NZ_CP005088.1	community_0_subcommunity_7
NZ_CP060128.1	community_0_subcommunity_8
NZ_CP015989.1	community_0_subcommunity_9
NZ_CP013266.1	community_0_subcommunity_10
NZ_AP018520.1	community_0_subcommunity_11
NZ_AP018668.1	community_0_subcommunity_12
NZ_AP018667.1	community_0_subcommunity_13
NZ_CP012702.1	community_0_subcommunity_14
NZ_CP009296.1	community_0_subcommunity_15
AB244976.1	community_0_subcommunity_16
NZ_CP005192.1	community_0_subcommunity_16
NZ_CP005087.1	community_0_subcommunity_17
CP021189.1	community_0_subcommunity_17
NZ_CP022749.1	community_0_subcommunity_18
NZ_CP022747.1	community_0_subcommunity_18
NZ_CP033229.1	community_0_subcommunity_19
NC_025133.1	community_0_subcommunity_19
NC_014005.1	community_0_subcommunity_22
NZ_CP005191.1	community_0_subcommunity_22
NZ_CP013268.1	community_0_subcommunity_22
NZ_CP046256.1	community_0_subcommunity_24
NZ_CP020927.1	community_0_subcommunity_24
NZ_CP053227.1	community_0_subcommunity_24
NZ_CP022748.1	community_0_subcommunity_24
NC_009507.1	community_0_subcommunity_24
NZ_CP005089.1	community_0_subcommunity_25
NC_020544.1	community_0_subcommunity_25
NZ_AP017660.1	community_0_subcommunity_25
NC_020562.1	community_0_subcommunity_25
NZ_CP005090.1	community_0_subcommunity_25
NZ_CP063842.1	community_0_subcommunity_25
NZ_CP005190.1	community_0_subcommunity_25
NZ_CP005193.1	community_0_subcommunity_25
NZ_AP018669.1	community_0_subcommunity_25
NC_020563.2	community_0_subcommunity_25
NZ_CP012703.1	community_0_subcommunity_25
NZ_CP017079.1	community_0_subcommunity_25
CP013073.1	community_0_subcommunity_25
CP075142.1	community_1_subcommunity_0
NZ_CP018634.1	community_1_subcommunity_1
NZ_CP022137.1	community_1_subcommunity_2
NZ_CP023469.1	community_1_subcommunity_3
NZ_CP030176.1	community_1_subcommunity_4
NZ_CP030198.1	community_1_subcommunity_5
NC_019105.1	community_1_subcommunity_6
AJ297913.2	community_1_subcommunity_7
NC_010332.1	community_1_subcommunity_8
JX469828.1	community_1_subcommunity_9
JX469829.1	community_1_subcommunity_10
MN366361.1	community_1_subcommunity_11
NC_008459.1	community_1_subcommunity_12
NC_016978.1	community_1_subcommunity_13
NC_019369.1	community_1_subcommunity_14
NZ_CP062120.1	community_1_subcommunity_15
NZ_CP063994.1	community_1_subcommunity_16
NZ_CP063999.1	community_1_subcommunity_17
NZ_MW300275.1	community_1_subcommunity_18
AP018700.1	community_1_subcommunity_19
NZ_CP027356.1	community_1_subcommunity_20
CP027377.1	community_1_subcommunity_21
CP034214.1	community_1_subcommunity_22
CP051693.1	community_1_subcommunity_23
CP055749.1	community_1_subcommunity_24
CP056356.1	community_1_subcommunity_25
CP056358.1	community_1_subcommunity_26
CP056558.1	community_1_subcommunity_27
CP056605.1	community_1_subcommunity_28
CP056934.1	community_1_subcommunity_29
CP056956.1	community_1_subcommunity_30
CP056975.1	community_1_subcommunity_31
CP056987.1	community_1_subcommunity_32
CP057110.1	community_1_subcommunity_33
CP057135.1	community_1_subcommunity_34
CP057442.1	community_1_subcommunity_35
CP057827.1	community_1_subcommunity_36
CP057969.1	community_1_subcommunity_37
CP057971.1	community_1_subcommunity_38
CP057974.1	community_1_subcommunity_39
CP058915.1	community_1_subcommunity_40
CP059905.1	community_1_subcommunity_41
CP059926.1	community_1_subcommunity_42
CP066322.1	community_1_subcommunity_43
NC_007675.1	community_1_subcommunity_44
NC_013951.1	community_1_subcommunity_45
NC_017640.1	community_1_subcommunity_46
NC_019094.1	community_1_subcommunity_47
NZ_AP018140.1	community_1_subcommunity_48
NZ_AP018801.1	community_1_subcommunity_49
NZ_AP022299.1	community_1_subcommunity_50
NZ_CP009167.1	community_1_subcommunity_51
NZ_CP010192.1	community_1_subcommunity_52
NZ_CP010232.1	community_1_subcommunity_53
NZ_CP012683.1	community_1_subcommunity_54
NZ_CP015239.1	community_1_subcommunity_55
NZ_CP020117.1	community_1_subcommunity_56
NZ_CP021204.1	community_1_subcommunity_57
NZ_CP023164.1	community_1_subcommunity_58
NZ_CP023351.1	community_1_subcommunity_59
NZ_CP023358.1	community_1_subcommunity_60
NZ_CP023378.1	community_1_subcommunity_61
NZ_CP024151.1	community_1_subcommunity_62
NZ_CP024242.1	community_1_subcommunity_63
NZ_CP024258.1	community_1_subcommunity_64
NZ_CP024291.1	community_1_subcommunity_65
NZ_CP025574.1	community_1_subcommunity_66
NZ_CP026724.1	community_1_subcommunity_67
NZ_CP026754.1	community_1_subcommunity_68
NZ_CP026931.2	community_1_subcommunity_69
NZ_CP027343.1	community_1_subcommunity_70
NZ_CP027367.1	community_1_subcommunity_71
NZ_CP027455.1	community_1_subcommunity_72
NZ_CP027458.1	community_1_subcommunity_73
NZ_CP027551.1	community_1_subcommunity_74
NZ_CP028193.1	community_1_subcommunity_75
NZ_CP032068.1	community_1_subcommunity_76
NZ_CP032836.1	community_1_subcommunity_77
NZ_CP035863.1	community_1_subcommunity_78
NZ_CP035873.1	community_1_subcommunity_79
NZ_CP040454.1	community_1_subcommunity_80
NZ_CP040995.1	community_1_subcommunity_81
NZ_CP041303.1	community_1_subcommunity_82
NZ_CP041415.1	community_1_subcommunity_83
NZ_CP042247.1	community_1_subcommunity_84
